T,Va
344,0.7517523411
345,0.7479406044
346,0.7475805582
347,0.7420836376
348,0.7538141901
349,0.7371990429
350,0.7452388667
351,0.7448017583
352,0.7495956966
353,0.757371501
354,0.759774525
355,0.7579102433
356,0.7588736053
357,0.7554362275
358,0.755856972
359,0.7644779676
360,0.7590740405
361,0.7751040693
362,0.7817210131
363,0.7768137046
364,0.7764026456
365,0.7830713892
366,0.7946345847
367,0.7900443268
368,0.7871152836
369,0.7898405097
370,0.7922586237
371,0.7841615899
372,0.7890845093
373,0.7773654231
374,0.7835832591
375,0.7798586807
376,0.7760979838
377,0.7804739587
378,0.7720665124
379,0.7709736201
380,0.7745165299
381,0.7655116221
382,0.7663546169
383,0.776696247
384,0.7718539865
385,0.7780033091
386,0.7672114227
387,0.7731356921
388,0.7646627466
389,0.7698896053
390,0.7743408966
391,0.763019966
392,0.7575185345
393,0.7499052299
394,0.7550539313
395,0.7491525358
396,0.7456005998
397,0.7412907744
398,0.7359793018
399,0.7366914121
400,0.7407124745
401,0.7392913816
402,0.7591463832
403,0.7513104763
404,0.7578776054
405,0.7590208207
406,0.7641589169
407,0.7566693325
408,0.763239699
409,0.7575368686
410,0.7661704137
411,0.7696623953
412,0.7624956721
413,0.7630847659
414,0.7662239202
415,0.7730184541
416,0.7587027442
417,0.7630924753
418,0.761932741
419,0.7627539162
420,0.7657694364
421,0.7624892951
422,0.7652153178
423,0.7758640306
424,0.7768851289
425,0.7591663692
426,0.7604465565
427,0.7710320024
428,0.7726219348
429,0.7649039876
430,0.7531439025
431,0.7492032457
432,0.7501960465
433,0.7574377991
434,0.7505915918
435,0.7473104068
436,0.7367747122
437,0.7397502634
438,0.7485542154
439,0.7392156493
440,0.743068922
441,0.7553670827
442,0.7517748268
443,0.7579689032
444,0.7458204244
445,0.7511179473
446,0.7508307602
447,0.7581528888
448,0.7676582579
449,0.7558493994
450,0.7604599967
451,0.7617727628
452,0.7625264578
453,0.7726175249
454,0.7642434439
455,0.7733161586
456,0.7645425273
457,0.7542048343
458,0.7664468407
459,0.76616015
460,0.7662785513
461,0.7702878247
462,0.7829967577
463,0.7770321407
464,0.7710004917
465,0.7753545663
466,0.7860642415
467,0.7788623721
468,0.7772302666
469,0.7787616979
470,0.7728567392
471,0.7743700427
472,0.7739762782
473,0.7664257995
474,0.7691402716
475,0.7748400013
476,0.7660505034
477,0.7725443418
478,0.7679932805
479,0.7699789252
480,0.7712510582
481,0.7688246088
482,0.7598817251
483,0.7643083847
484,0.7632857691
485,0.7768953412
486,0.7602802875
487,0.7723292697
488,0.776487459
489,0.7740871063
490,0.775516305
491,0.7763325877
492,0.7832941012
493,0.7717909356
494,0.7846816239
495,0.7851961397
496,0.7916171114
497,0.7888788522
498,0.781138675
499,0.7787885259
